gene_short_name	L_FPKM	R_FPKM	F_FPKM	S_FPKM
AT1G80500	39.1476	59.3633	60.1936	49.6237
AT1G80510	8.95578	12.1213	10.111	15.6012
AT1G80520	1.63654	5.48556	3.36474	5.12288
AT1G80555	0.429869	0.231466	0.334253	0.298212
AT1G80560	28.5013	30.0766	23.1837	22.0211
AT1G80570	4.59748	13.0441	2.08088	3.73362
AT1G80580	0.00506278	0	0.0050219	0.00547183
AT1G80620	13.0505	27.2464	23.2657	12.6259
AT1G80640	26.9593	6.39609	31.9189	14.2617
AT1G80650	28.1322	8.83763	19.2265	19.6815
AT1G80680	15.6549	22.7015	16.5174	13.2673
AT1G80700	9.22101	10.8383	14.4941	13.2234
AT1G80720	4.24594	8.82462	9.26724	5.62122
AT1G80740,AT1G80745	0.923075	0.474421	2.36151	1.47621
AT1G80750	29.1608	68.4145	58.7056	35.0162
AT1G80770	30.9139	13.5619	19.6722	19.1458
AT1G80780	74.4199	94.5845	59.4043	39.0945
AT1G80790	18.5171	20.8549	23.6125	19.9055
AT1G80800	27.7075	21.5725	29.2259	27.3432
AT1G80810	8.86149	9.79535	11.0144	7.65606
AT1G80820	0.765172	16.5994	3.86473	2.77706
AT1G80831	0	0	0	0
AT1G80840	22.5301	14.1066	4.1616	2.27268
AT1G80865	0.0350176	0.0574709	0.0683727	0.107566
AT1G80870	6.41337	11.5155	10.872	7.05612
AT1G80890	15.1896	16.1491	21.4091	19.846
AT1G80910	9.59678	21.1074	17.1035	18.0492
AT1G80940	25.6262	15.9802	25.324	22.9473
AT1G80960	3.89774	2.73492	3.50279	4.65539
AT1G80970	1.26062	1.35247	2.37282	1.81629
AT1G80990	0	0.0143768	1.56755	0.0436963
AT1G81020	0	0	0	0
AT1G01020	17.6395	16.8856	14.7782	6.71397
AT1G01030	2.96406	0.96265	3.78398	0.853313
AT1G01050	51.7186	105.465	90.6862	90.4464
AT1G01060	19.7011	1.26466	61.4223	10.9593
AT1G01070	7.69626	19.317	8.26253	0.701617
AT1G01080	68.1183	4.67734	38.103	40.9365
AT1G01090	126.523	83.3413	124.667	104.173
AT1G01100	232.39	362.702	457.182	274.848
AT1G01120	28.2374	21.0187	47.3488	104.091
AT1G01130,AT1G01140	48.6482	3.24514	34.1355	48.687
AT1G01150	0.198394	0.0851368	3.42011	0.0639992
AT1G01170	118.893	28.2707	91.486	74.3417
AT1G01183	0	0	0	0
AT1G01190	1.07234	26.255	0.464024	0.223464
AT1G01200	0.409265	3.56937	2.0033	1.96639
AT1G01250	1.8642	0	12.5541	15.3804
AT1G01270	0	0	0	0
AT1G01320	84.9353	7.1245	61.6148	37.2707
AT1G01340	1.46441	12.7199	1.46648	0.414832
AT1G01390	1.66933	0.0795209	0.434039	0.294721
AT1G01400	0	0	0.892028	0
AT1G01420	5.91975	4.37786	0.39911	1.81958
AT1G01430	70.0207	18.082	24.5254	81.3656
AT1G01440	10.8044	12.7574	7.15043	6.45344
AT1G01450	2.6159	3.05106	2.20513	1.93928
AT1G01453	0.00843358	1.34368	0.0217548	0.0131175
AT1G01470	42.6831	111.58	15.043	38.3508
AT1G01490	50.9526	36.0642	30.5765	12.8032
AT1G01530	0.0198906	0	0.0767778	2.70524
AT1G01610	39.381	21.9577	54.9962	75.498
AT1G01620	373.375	317.89	338.217	225.805
AT1G01640	1.13571	40.0119	2.91482	3.21999
AT1G01650	14.5799	20.8245	34.7074	32.2636
AT1G01660,AT1G01670	0.724016	4.0174	3.73401	4.529
AT1G01680	0.0453917	0.275181	0.0596052	0.050391
AT1G01700	1.03819	0.740534	2.29795	1.34215
