gene_short_name	L_FPKM	R_FPKM	F_FPKM	S_FPKM
AT1G06500	9.48892	8.83675	13.3889	13.7495
AT1G06510	16.3547	6.29111	9.79336	9.44966
AT1G06530	27.0795	34.0167	32.25	27.3537
AT1G06560	7.33226	10.7436	9.24348	6.34043
AT1G06610	0	0	0	0
AT1G06620	1.14296	23.3475	6.8837	2.35843
AT1G06630,AT1G06640	37.4029	151.312	58.4914	143.344
AT1G06645	11.1655	1.14312	5.08159	6.24777
AT1G06650	39.4774	18.3101	19.6179	26.4926
AT1G06670	11.1288	20.2576	16.2929	10.9071
AT1G06680	3419.07	25.528	888.048	1568.61
AT1G06730	6.30654	7.21462	8.81084	8.96127
AT1G06740,AT1G06750	2.60338	3.43346	5.74615	3.54132
AT1G06780	4.97648	22.7312	10.5715	12.1875
AT1G06790	12.7167	23.7008	28.417	19.8908
AT1G06830	6.16492	0.367935	2.13166	0.500325
AT1G06850	7.95152	13.4644	12.2213	6.46906
AT1G06870	7.93843	21.1319	15.3944	14.4347
AT1G06910	3.79387	3.69629	5.14326	4.06315
AT1G06923	0.0135076	2.6006	0.158633	0.0403832
AT1G06930	0.0447834	5.55172	0.031142	0.00649783
AT1G06960	16.2288	14.9689	25.8777	21.8061
AT1G06970	0.0189177	0.0502469	1.62522	0.0542173
AT1G06990	0	0.0761305	9.53875	0
AT1G07010	35.7296	1.18158	31.4284	31.4063
AT1G07051	0.0398777	0	0	0
AT1G07070	18.4785	45.1005	35.5483	31.8526
AT1G07080	58.6502	61.6902	54.9614	133.137
AT1G07100	0	0	0	0
AT1G07119,AT1G07130	3.59869	11.2546	3.56473	4.15231
AT1G07170	22.077	34.4966	24.424	16.9055
AT1G07175	0.0385357	7.31936	0.419221	0.0360293
AT1G07180	40.6995	0.222827	15.6849	14.9785
AT1G07190	0	0	0	0
AT1G07210	18.0849	38.9288	34.3909	23.3203
AT1G07240	17.3402	27.8183	3.75865	4.30372
AT1G07250	20.2082	17.0665	16.2432	21.8195
AT1G07280	46.5527	3.18442	11.9936	19.7705
AT1G07320	296.14	16.0913	133.141	148.614
AT1G07330	0.0545281	0.0288361	3.44099	0.162054
AT1G07340	0.00762947	0.00727206	19.9136	0.0192465
AT1G07370	10.2738	17.296	22.6199	19.9886
AT1G07390,AT1G07400	2.33338	1.24635	5.31473	1.80847
AT1G07410	0.86622	5.47729	9.00342	6.04558
AT1G07420	21.6224	41.8463	21.4858	39.7517
AT1G07460	0	0.149675	0	0.0148047
AT1G07470	15.2676	24.9653	18.8279	16.8921
AT1G07476	0	0.00758153	0.536571	0.125473
AT1G07485	3.33077	0.839057	6.89682	3.41454
AT1G07510	10.3869	15.0532	20.5234	16.6633
AT1G07560	0.0683358	13.3936	0.0292936	0.0343525
AT1G07580	0	0	0	0
AT1G07610	50.7495	780.243	9.28681	2.48962
AT1G07630	10.2935	22.7999	9.39	6.94095
AT1G07660	32.6185	38.7196	67.9513	47.7759
AT1G07680	0	0.0245321	0.00844923	0.449617
AT1G07690	0	0.0703499	0.0917334	3.83043
AT1G07700	44.0027	14.3566	40.5665	37.4072
AT1G07705	13.0941	13.503	16.77	13.9741
AT1G07728	5.97866	8.39302	6.18145	5.75391
AT1G07747	0	0	0.0872326	0.534614
AT1G07790	34.1762	45.3876	95.6164	48.3124
AT1G07795	0	1.30119	4.72762	2.22271
AT1G07800	0	0	0.0113836	0
AT1G07810	16.2371	35.8672	26.0066	22.4889
AT1G07830	13.6601	37.59	29.0494	15.1014
AT1G07840	10.1303	16.1112	15.337	13.3137
AT1G07850	0.013045	0.043797	5.13996	0.0334971
AT1G07890	261.968	620.768	630.685	695.387
AT1G07900	1.2956	1.82939	1.35665	1.05964
AT1G07910	6.30871	8.04715	7.27003	6.15564
AT1G07920	253.488	459.119	345.037	343.101
AT1G07930	199.693	380.571	296.494	272.518
AT1G07960	19.6926	48.4182	35.32	28.9928
AT1G07985	1.04713	4.9522	1.71833	0.518192
AT1G07990	18.5687	26.2325	20.1828	16.0705
AT1G08005	0.469883	0.124779	1.37022	0.673311
AT1G08032	0	0	0	0
AT1G08035	0.820836	0.191651	0.758496	0.932891
AT1G08090	0.0646314	0.194516	0.028652	0.0387809
AT1G08110	72.7925	65.7312	77.2893	67.6714
AT1G08120	0.032905	0.0533374	0.0375458	0.0054616
AT1G08190	31.5487	44.9878	42.0996	39.6782
AT1G08240	0	0	0	0
AT1G08260	5.58107	9.04931	8.2312	4.6894
AT1G08280	3.54573	11.9644	9.33996	9.17634
AT1G08300,AT1G08310	5.76448	5.15512	4.55859	2.14024
AT1G08340	1.33399	13.5889	7.26807	31.0643
AT1G08360	226.808	388.296	356.757	232.11
AT1G08370	21.6326	33.7304	30.9112	30.0659
AT1G08390	11.0953	5.15298	10.1205	11.3945
AT1G08410	7.01381	11.1317	9.96482	5.50741
AT1G08420	20.1797	26.7028	21.9726	13.5214
AT1G08430	0.155388	14.4479	0.0584595	0.153362
AT1G08440	0.0401452	0.0189939	1.29826	1.35632
AT1G08460	14.381	22.1908	15.3565	14.5784
AT1G08465	19.5281	0.0254246	32.6536	20.0279
AT1G08480	44.5707	100.239	80.0509	69.9009
AT1G08500	2.57024	22.3194	2.40831	2.39823
AT1G08520	160.85	17.5526	64.0948	71.3634
AT1G08530	11.996	8.92282	14.5239	19.8398
AT1G08540	58.9983	6.23507	27.642	35.4331
AT1G08550	62.7268	4.19014	14.6089	34.2388
AT1G08570	56.3653	44.4582	57.1143	58.8356
AT1G08590	2.50777	20.1168	3.63367	3.53603
AT1G08600	8.69572	16.8641	14.5175	11.2824
AT1G08620	7.91501	14.3246	11.5498	8.69112
AT1G08650	11.8963	38.437	22.9007	13.9663
AT1G08680	18.999	23.8653	20.7244	13.3043
AT1G08710	7.07731	9.68365	9.30777	8.08087
AT1G08720	10.5027	15.7532	8.61705	9.67754
AT1G08730	0.584443	0.56988	5.4459	0.385651
AT1G08735	0.013087	0.00183231	0.014496	0.00791835
AT1G08750	10.6718	15.9076	15.7854	15.9241
AT1G08760	7.98224	15.8451	17.1058	15.244
AT1G08770	10.8028	22.7879	14.8757	16.8965
AT1G08790	0	0	0.0744292	0
AT1G08830	94.2061	470.935	608.744	441.991
AT1G08845	5.76315	5.64168	7.2643	5.65831
AT1G08860	0.0764243	0.0355102	3.1249	4.2549
