Gene_id	log2(7h+DEX/7h-DEX)	log2(25h+DEX/25h-DEX)	log2(gdu1-1D/WT)	log2(GDU2/WT)	log2(GDU5/WT)	log2(GDU6/WT)
AT1G14030	-0.150632	-0.406505	-0.421964	-0.214609	-0.661275	-0.002394
AT1G14270	-0.164106	-0.402319	-0.43136	-0.277905	-0.806863	-0.319866
AT1G15140	-0.124317	-0.16073	-0.420946	-0.00398901	-0.6945	-0.233342
AT1G19715	0.00436018	-0.059416	-0.241054	-0.0991105	-0.439527	0.0362069
AT1G19720	0.00436018	-0.059416	-0.241054	-0.0991105	-0.439527	0.0362069
AT1G20650	0.260163	0.257503	-0.0415261	0.0610079	-0.36354	0.295882
AT1G21350	-0.149002	-0.316067	-0.401566	-0.205315	-0.686428	0.0330755
AT1G22700	-0.146778	-0.313209	-0.397301	-0.224134	-0.766726	-0.128775
AT1G24610	-0.101502	-0.199598	-0.437733	-0.197226	-0.70868	-0.210347
AT1G26140	-0.00792931	-0.00885574	-0.131184	-0.014801	-0.453697	0.0537888
AT1G26150	-0.00792931	-0.00885574	-0.131184	-0.014801	-0.453697	0.0537888
AT1G26160	-0.00792931	-0.00885574	-0.131184	-0.014801	-0.453697	0.0537888
AT1G27200	0.851552	0.805963	0.4479	0.791589	0.463674	0.981154
AT1G27385	-0.0904199	-0.134771	-0.206648	-0.191641	-0.550966	-0.0466514
AT1G29410	-0.0773319	-0.359345	-0.248223	0.0513613	-0.507128	-0.12922
AT1G29530	-0.00370396	-0.243286	-0.269035	-0.170243	-0.68608	-0.124837
AT1G31160	-0.184886	-0.332149	-0.438194	-0.169738	-0.64691	-0.0615438
AT1G31410	-0.0216781	-0.370619	-0.229096	-0.0990776	-0.614164	-0.078228
AT1G31835	-0.341856	-0.721512	-0.703332	-0.5644	-1.17694	-0.461432
AT1G32490	-0.0534999	-0.230031	-0.327124	-0.220028	-0.583597	-0.171072
AT1G32500	-0.0534999	-0.230031	-0.327124	-0.220028	-0.583597	-0.171072
AT1G32550	-0.151034	-0.302024	-0.322841	-0.150303	-0.673707	0.166075
AT1G33780	0.0682014	-0.110637	-0.126904	-0.0409915	-0.422645	0.0813137
AT1G34010	-0.0921905	-0.406002	-0.337131	-0.310113	-0.67795	-0.13435
AT1G34780	0.0670607	0.104913	-0.0725186	0.0251407	-0.364393	0.179703
AT1G36390	-0.206059	-0.368667	-0.48978	-0.186989	-0.664952	-0.430846
AT1G43560	-0.304037	-0.317837	-0.520163	-0.245141	-0.846875	-0.239684
AT1G45230	-0.150012	-0.292623	-0.197632	-0.0077758	-0.555503	-0.0271368
AT1G48030	-0.0541705	-0.0153247	-0.34993	-0.00664599	-0.736972	-0.0542474
AT1G48450	-0.0811749	-0.231266	-0.325517	-0.158149	-0.615881	-0.0335703
AT1G50320	-0.103455	-0.131416	-0.283628	-0.129551	-0.707028	-0.0299326
AT1G50450	-0.146046	-0.408329	-0.422477	-0.0966971	-0.783526	-0.141528
AT1G51080	-0.028951	-0.20074	-0.289971	-0.00241323	-0.870556	-0.230986
AT1G51500	0.11918	0.148713	-0.0432568	0.0399463	-0.287543	0.279195
AT1G52340	0.074681	-0.127617	-0.277891	-0.191177	-0.716154	-0.220281
AT1G53040	0.121617	-0.276076	-0.370327	-0.101677	-0.638665	-0.294248
AT1G54500	-0.184318	-0.406573	-0.475058	-0.345585	-0.849002	-0.183297
AT1G55140	-0.201579	-0.438716	-0.603277	-0.283203	-0.674114	-0.226346
AT1G57980	0.123744	-0.206937	-0.125543	-0.0229316	-0.469175	-0.00961407
AT1G58350	0.0893328	-0.0644784	-0.0735257	-0.0751539	-0.50109	-0.0258224
AT1G58440	0.048807	-0.158402	-0.252465	-0.313311	-0.586773	0.0264601
AT1G60525	-0.13506	-0.436953	-0.30234	-0.194827	-0.597689	-0.254979
AT1G60550	-0.0576558	-0.274358	-0.520576	-0.263303	-0.742654	-0.185181
AT1G60600	-0.114273	-0.606587	-0.460423	-0.289195	-0.878665	-0.402792
AT1G60940	0.0610512	-0.0866987	-0.135695	-0.180952	-0.450283	0.0381302
AT1G60990	-0.0436713	-0.272196	-0.356453	-0.0253437	-0.717262	-0.102502
AT1G62590	-0.100416	-0.363528	-0.384093	-0.0722688	-0.655256	-0.0686293
AT1G62780	-0.256815	-0.409779	-0.533628	-0.248465	-0.961018	-0.355386
AT1G64150	-0.121563	-0.275828	-0.505376	-0.111921	-0.791445	-0.0790799
AT1G64510	-0.181828	-0.419596	-0.595026	-0.338573	-0.79778	-0.211243
AT1G65320	0.0269354	-0.0400789	-0.0224273	0.123642	-0.44674	0.140984
AT1G66190	0.0648157	-0.388776	-0.244947	-0.121904	-0.711119	-0.24051
AT1G67280	-0.0529139	-0.138136	-0.238451	-0.0680001	-0.674337	0.0395043
AT1G67440	-0.0275491	-0.0872132	-0.120518	0.0109654	-0.662874	0.11947
AT1G68590	-0.262406	-0.400004	-0.705062	-0.44489	-0.956942	-0.424071
